FontFamilyName, FontSize, Width, dpiX, dpiY
Agency FB, 2, 1, 96, 96
Agency FB, 3, 2, 96, 96
Agency FB, 4, 2, 96, 96
Agency FB, 5, 3, 96, 96
Agency FB, 6, 3, 96, 96
Agency FB, 7, 4, 96, 96
Agency FB, 8, 5, 96, 96
Agency FB, 9, 5, 96, 96
Agency FB, 10, 6, 96, 96
Agency FB, 11, 6, 96, 96
Agency FB, 12, 7, 96, 96
Agency FB, 13, 8, 96, 96
Agency FB, 14, 8, 96, 96
Agency FB, 15, 9, 96, 96
Agency FB, 16, 9, 96, 96
Agency FB, 17, 10, 96, 96
Agency FB, 18, 10, 96, 96
Agency FB, 19, 11, 96, 96
Agency FB, 20, 12, 96, 96
Agency FB, 21, 12, 96, 96
Agency FB, 22, 13, 96, 96
Agency FB, 23, 13, 96, 96
Agency FB, 24, 14, 96, 96
Agency FB, 25, 14, 96, 96
Algerian, 2, 2, 96, 96
Algerian, 3, 2, 96, 96
Algerian, 4, 3, 96, 96
Algerian, 5, 4, 96, 96
Algerian, 6, 5, 96, 96
Algerian, 7, 5, 96, 96
Algerian, 8, 6, 96, 96
Algerian, 9, 7, 96, 96
Algerian, 10, 8, 96, 96
Algerian, 11, 9, 96, 96
Algerian, 12, 9, 96, 96
Algerian, 13, 10, 96, 96
Algerian, 14, 11, 96, 96
Algerian, 15, 12, 96, 96
Algerian, 16, 13, 96, 96
Algerian, 17, 13, 96, 96
Algerian, 18, 14, 96, 96
Algerian, 19, 15, 96, 96
Algerian, 20, 16, 96, 96
Algerian, 21, 16, 96, 96
Algerian, 22, 17, 96, 96
Algerian, 23, 18, 96, 96
Algerian, 24, 19, 96, 96
Algerian, 25, 20, 96, 96
Aptos, 2, 1, 96, 96
Aptos, 3, 2, 96, 96
Aptos, 4, 3, 96, 96
Aptos, 5, 4, 96, 96
Aptos, 6, 4, 96, 96
Aptos, 7, 5, 96, 96
Aptos, 8, 6, 96, 96
Aptos, 9, 6, 96, 96
Aptos, 10, 7, 96, 96
Aptos, 11, 8, 96, 96
Aptos, 12, 9, 96, 96
Aptos, 13, 9, 96, 96
Aptos, 14, 10, 96, 96
Aptos, 15, 11, 96, 96
Aptos, 16, 11, 96, 96
Aptos, 17, 12, 96, 96
Aptos, 18, 13, 96, 96
Aptos, 19, 14, 96, 96
Aptos, 20, 14, 96, 96
Aptos, 21, 15, 96, 96
Aptos, 22, 16, 96, 96
Aptos, 23, 16, 96, 96
Aptos, 24, 17, 96, 96
Aptos, 25, 18, 96, 96
Aptos Black, 2, 2, 96, 96
Aptos Black, 3, 2, 96, 96
Aptos Black, 4, 3, 96, 96
Aptos Black, 5, 4, 96, 96
Aptos Black, 6, 5, 96, 96
Aptos Black, 7, 5, 96, 96
