family,type,panose
Agency FB,Bold,020B0804020202020204
Agency FB,Regular,020B0503020202020204
Algerian,Regular,04020705040A02060702
Aptos,Bold,020B0004020202020204
Aptos,Bold Italic,020B0004020202090204
Aptos,Italic,020B0004020202090204
Aptos,Regular,020B0004020202020204
Aptos Black,Regular,020B0004020202020204
Aptos Display,Bold,020B0004020202020204
Aptos Display,Bold Italic,020B0004020202090204
Aptos Display,Italic,020B0004020202090204
Aptos Display,Regular,020B0004020202020204
Aptos ExtraBold,Regular,020B0004020202020204
Aptos Light,Regular,020B0004020202020204
Aptos Mono,Regular,020B0009020202020204
Aptos Narrow,Bold,020B0004020202020204
Aptos Narrow,Bold Italic,020B0004020202090204
Aptos Narrow,Italic,020B0004020202090204
Aptos Narrow,Regular,020B0004020202020204
Aptos SemiBold,Regular,020B0004020202020204
Aptos Serif,Regular,02020604070405020304
Arial,Bold,020B0704020202020204
Arial,Bold Italic,020B0704020202090204
Arial,Italic,020B0604020202090204
Arial,Regular,020B0604020202020204
Arial Black,Regular,020B0A04020102020204
Arial Narrow,Bold,020B0706020202030204
Arial Narrow,Bold Italic,020B07060202020A0204
Arial Narrow,Italic,020B06060202020A0204
Arial Narrow,Regular,020B0606020202030204
Arial Rounded MT Bold,Regular,020F0704030504030204
Bahnschrift,Regular,020B0502040204020203
Baskerville Old Face,Regular,02020602080505020303
Bauhaus 93,Regular,04030905020B02020C02
Bell MT,Bold,0203070306050A020303
Bell MT,Italic,0203060306050A090203
Bell MT,Regular,02020503060305020303
Berlin Sans FB,Bold,020E0902020502020306
Berlin Sans FB,Regular,020E0602020502020306
Berlin Sans FB Demi,Bold,020E0802020502020306
Bernard MT Condensed,Regular,02050806060905020404
Blackadder ITC,Regular,04020505051007020D02
Bodoni MT,Bold,02070803080606020203
Bodoni MT,Bold Italic,02070803080606090203
Bodoni MT,Italic,02070603080606090203
Bodoni MT,Regular,02070603080606020203
Bodoni MT Black,Italic,02070A03080606090203
Bodoni MT Black,Regular,02070A03080606020203
Bodoni MT Condensed,Bold,02070806080606020203
Bodoni MT Condensed,Bold Italic,02070806080606090203
Bodoni MT Condensed,Italic,02070606080606090203
Bodoni MT Condensed,Regular,02070606080606020203
Bodoni MT Poster Compressed,Regular,02070706080601050204
Book Antiqua,Bold,02040702050305030304
Book Antiqua,Bold Italic,020407020603050A0204
Book Antiqua,Italic,020405020503050A0304
Book Antiqua,Regular,02040602050305030304
Bookman Old Style,Bold,02050804040505020204
Bookman Old Style,Bold Italic,02050804040505090204
Bookman Old Style,Italic,02050604050505090204
Bookman Old Style,Regular,02050604050505020204
Bookshelf Symbol 7,Regular,05010101010101010101
Bradley Hand ITC,Regular,03070402050302030203
Britannic Bold,Regular,020B0903060703020204
Broadway,Regular,04040905080B02020502
Brush Script MT,Italic,03060802040406070304
Calibri,Bold,020F0702030404030204
Calibri,Bold Italic,020F07020304040A0204
Calibri,Italic,020F05020202040A0204
Calibri,Regular,020F0502020204030204
Calibri Light,Italic,020F0302020204030204
Calibri Light,Regular,020F0302020204030204
Californian FB,Bold,0207060306080B030204
Californian FB,Italic,0207040306080B0A0204
Californian FB,Regular,0207040306080B030204
Calisto MT,Bold,02040703060505020304
Calisto MT,Bold Italic,02040703050505090304
Calisto MT,Italic,02040603050505090304
Calisto MT,Regular,02040603050505030304
Cambria,Bold,02040803050406030204
Cambria,Bold Italic,020408030504060A0204
Cambria,Italic,020405030504060A0204
Candara,Bold,020E0702030303020204
Candara,Bold Italic,020E0702030303090204
Candara,Italic,020E0502030303090204
Candara,Regular,020E0502030303020204
Candara Light,Italic,020E0502030303020204
Candara Light,Regular,020E0502030303020204
Castellar,Regular,020A0402060406010301
Centaur,Regular,02030504050205020304
Century,Regular,02040604050505020304
Century Gothic,Bold,020B0702020202020204
Century Gothic,Bold Italic,020B0602020202090204
Century Gothic,Italic,020B0502020202090204
Century Gothic,Regular,020B0502020202020204
Century Schoolbook,Bold,02040804060505020304
Century Schoolbook,Bold Italic,02040804060505090304
Century Schoolbook,Italic,02040604050505090304
Century Schoolbook,Regular,02040604050505020304
Chiller,Regular,04020404031007020602
Colonna MT,Regular,04020805060202030203
Comic Sans MS,Bold,030F0902030302020204
Comic Sans MS,Bold Italic,030F0902030302060204
Comic Sans MS,Italic,030F0702030302060204
Comic Sans MS,Regular,030F0702030302020204
Consolas,Bold,020B0709020204030204
Consolas,Bold Italic,020B07090202040A0204
Consolas,Italic,020B06090202040A0204
Consolas,Regular,020B0609020204030204
Constantia,Bold,02030702060306030303
Constantia,Bold Italic,020307020603060A0303
Constantia,Italic,020306020503060A0303
Constantia,Regular,02030602050306030303
Cooper Black,Regular,0208090404030B020404
Copperplate Gothic Bold,Regular,020E0705020206020404
Copperplate Gothic Light,Regular,020E0507020206020404
Corbel,Bold,020B0703020204020204
Corbel,Bold Italic,020B0703020204090204
Corbel,Italic,020B0503020204090204
Corbel,Regular,020B0503020204020204
Corbel Light,Italic,020B0303020204090204
Corbel Light,Regular,020B0303020204020204
Courier New,Bold,02070609020205020404
Courier New,Bold Italic,02070609020205090404
Courier New,Italic,02070409020205090404
Courier New,Regular,02070309020205020404
Curlz MT,Regular,04040404050702020202
Dubai,Bold,020B0803030403030204
Dubai,Regular,020B0503030403030204
Dubai Light,Regular,020B0303030403030204
Dubai Medium,Regular,020B0603030403030204
Ebrima,Bold,02000000000000000000
Ebrima,Regular,02000000000000000000
Edwardian Script ITC,Regular,030303020407070D0804
Elephant,Italic,02020907090905090904
Elephant,Regular,02020904090505020303
Engravers MT,Regular,02090707080505020304
Eras Bold ITC,Regular,020B0907030504020204
Eras Demi ITC,Regular,020B0805030504020804
Eras Light ITC,Regular,020B0402030504020804
Eras Medium ITC,Regular,020B0602030504020804
Felix Titling,Regular,04060505060202020A04
Footlight MT Light,Regular,0204060206030A020304
Forte,Regular,03060902040502070203
Franklin Gothic Book,Italic,020B0503020102090204
Franklin Gothic Book,Regular,020B0503020102020204
Franklin Gothic Demi,Italic,020B0703020102090204
Franklin Gothic Demi,Regular,020B0703020102020204
Franklin Gothic Demi Cond,Regular,020B0706030402020204
Franklin Gothic Heavy,Italic,020B0903020102090204
Franklin Gothic Heavy,Regular,020B0903020102020204
Franklin Gothic Medium,Italic,020B0603020102090204
Franklin Gothic Medium,Regular,020B0603020102020204
Franklin Gothic Medium Cond,Regular,020B0606030402020204
Freestyle Script,Regular,030804020302050B0404
French Script MT,Regular,03020402040607040605
Gabriola,Regular,04040605051002020D02
